0,1^1|5
0,2^51|2
0,3^51|25
0,4^51|32
0,5^51|50
0,6^51|34
0,7^51|7
0,8^51|38
0,9^51|43
0,10^51|28
0,11^51|47
0,12^51|18
0,13^51|30
0,14^52|2
0,15^52|25
0,16^52|37
0,17^52|5
0,18^52|43
0,19^52|52
0,20^52|50
0,21^52|32
0,22^52|44
0,23^52|11
0,24^52|51
0,25^52|11
0,26^53|2
0,27^53|25
0,28^53|17
0,29^53|48
0,30^53|41
0,31^53|30
0,32^53|18
0,33^53|53
0,34^53|50
0,35^53|10
0,36^53|22
0,37^53|4
0,38^54|2
0,39^54|25
0,40^54|16
0,41^54|40
0,42^54|32
0,43^54|16
0,44^54|43
0,45^54|50
0,46^54|18
0,47^54|21
0,48^54|46
0,49^54|10
0,50^55|2
0,51^55|25
0,52^55|11
0,53^55|42
0,54^55|52
0,55^55|14
0,56^55|22
0,57^55|33
0,58^55|15
0,59^55|15
0,60^55|42
0,61^55|45
0,62^56|2
0,63^56|25
0,64^56|46
0,65^56|41
0,66^56|43
0,67^56|44
0,68^56|33
0,69^56|5
0,70^56|27
0,71^56|30
0,72^56|5
0,73^56|38
0,74^57|2
0,75^57|25
0,76^57|19
0,77^57|10
0,78^57|32
0,79^57|7
0,80^57|31
0,81^57|24
0,82^57|55
0,83^57|49
0,84^57|46
0,85^57|48
0,86^58|2
0,87^58|25
0,88^58|30
0,89^58|11
0,90^58|38
0,91^58|49
0,92^58|47
0,93^58|10
0,94^58|3
0,95^58|54
0,96^58|16
0,97^58|17
0,98^59|2
0,99^59|25
0,100^59|43
0,101^59|47
0,102^59|51
0,103^59|41
0,104^59|44
0,105^59|16
0,106^59|59
0,107^59|37
0,108^59|30
0,109^59|35
0,110^60|2
0,111^60|25
0,112^60|27
0,113^60|56
0,114^60|22
0,115^60|36
0,116^60|50
0,117^60|58
0,118^60|44
0,119^60|19
0,120^60|45
0,121^60|47
0,122^61|2
0,123^61|25
0,124^61|18
0,125^61|21
0,126^61|58
0,127^61|25
0,128^61|41
0,129^61|32
0,130^61|49
0,131^61|5
0,132^61|16
0,133^61|18
0,134^62|2
0,135^62|25
0,136^62|41
0,137^62|6
0,138^62|62
0,139^62|10
0,140^62|19
0,141^62|20
0,142^62|43
0,143^62|50
0,144^62|20
0,145^62|9
0,146^63|2
0,147^63|25
0,148^63|7
0,149^63|15
0,150^63|22
0,151^63|48
0,152^63|25
0,153^63|60
0,154^63|29
0,155^63|53
0,156^63|25
0,157^63|19
0,158^64|2
0,159^64|25
0,160^64|47
0,161^64|22
0,162^64|32
0,163^64|49
0,164^64|35
0,165^64|11
0,166^64|6
0,167^64|50
0,168^64|9
0,169^64|33
0,170^65|2
0,171^65|25
0,172^65|39
0,173^65|59
0,174^65|2
0,175^65|29
0,176^65|6
0,177^65|30
0,178^65|58
0,179^65|34
0,180^65|47
0,181^65|9
0,182^66|2
0,183^66|25
0,184^66|37
0,185^66|43
0,186^66|17
0,187^66|11
0,188^66|58
0,189^66|27
0,190^66|32
0,191^66|26
0,192^66|39
0,193^66|15
0,194^67|2
0,195^67|25
0,196^67|12
0,197^67|11
0,198^67|60
0,199^67|45
0,200^67|64
0,201^67|42
0,202^67|28
0,203^67|49
0,204^67|38
0,205^67|55
0,206^68|2
0,207^68|25
0,208^68|19
0,209^68|54
0,210^68|25
0,211^68|29
0,212^68|47
0,213^68|51
0,214^68|58
0,215^68|19
0,216^68|46
0,217^68|22
0,218^69|2
0,219^69|25
0,220^69|55
0,221^69|55
0,222^69|22
0,223^69|15
0,224^69|45
0,225^69|50
0,226^69|55
0,227^69|18
0,228^69|49
0,229^69|69
0,230^70|2
0,231^70|25
0,232^70|16
0,233^70|33
0,234^70|13
0,235^70|61
0,236^70|69
0,237^70|26
0,238^70|69
0,239^70|7
0,240^70|69
0,241^70|12
0,242^71|2
0,243^71|25
0,244^71|9
0,245^71|71
0,246^71|7
0,247^71|41
0,248^71|36
0,249^71|52
0,250^71|15
0,251^71|69
0,252^71|41
0,253^71|1
0,254^72|2
0,255^72|25
0,256^72|30
0,257^72|39
0,258^72|55
0,259^72|32
0,260^72|23
0,261^72|48
0,262^72|56
0,263^72|72
0,264^72|35
0,265^72|34
